frame,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
0,595.7810668945312,115.41815185546875,621.9398803710938,89.57369995117188,568.1096801757812,88.92453002929688,653.0864868164062,109.87657165527344,530.5674438476562,110.72323608398438,715.374267578125,273.2174072265625,470.311767578125,271.650146484375,734.3177490234375,492.23858642578125,441.0475158691406,490.29052734375,735.6104736328125,343.2093811035156,426.492919921875,341.0634765625,675.8590698242188,653.7030639648438,505.2652587890625,645.3340454101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,595.7728271484375,115.41206359863281,621.9149169921875,89.59991455078125,568.1224975585938,88.94729614257812,653.0291137695312,109.91392517089844,530.5913696289062,110.75215148925781,715.3413696289062,273.1127014160156,470.2948303222656,271.53204345703125,734.3753662109375,492.2344970703125,440.96722412109375,490.292236328125,735.7412109375,342.82550048828125,426.38043212890625,340.9069519042969,675.9037475585938,653.6898803710938,505.2398681640625,645.3301391601562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,595.9793090820312,115.32069396972656,622.4472045898438,89.70297241210938,568.4107055664062,88.6094970703125,653.5597534179688,110.5181884765625,530.6315307617188,110.36569213867188,716.359375,274.1153869628906,468.23516845703125,272.12835693359375,733.8709106445312,492.3116455078125,440.4969787597656,491.06573486328125,734.772216796875,344.85137939453125,427.2908935546875,342.2118835449219,675.4830322265625,654.6788330078125,503.401611328125,645.7852783203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,595.7778930664062,114.11737060546875,622.4259643554688,89.1246337890625,567.9916381835938,88.0648193359375,653.856201171875,111.44369506835938,530.3896484375,111.5218505859375,718.3377075195312,274.1405334472656,467.3701171875,272.66925048828125,733.0986328125,492.656982421875,441.99578857421875,492.3218994140625,734.1338500976562,346.80438232421875,426.74835205078125,343.6192626953125,676.0460205078125,655.623046875,502.25,646.230224609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,595.9867553710938,113.07162475585938,622.5571899414062,88.206298828125,568.0305786132812,87.3946533203125,653.979248046875,111.05891418457031,530.3748168945312,111.67665100097656,718.204833984375,273.6641540527344,467.5536804199219,272.4625549316406,732.6417236328125,494.44744873046875,442.0274963378906,493.42645263671875,735.620361328125,349.0096740722656,426.7585754394531,343.4254150390625,675.9830322265625,655.0115966796875,502.039794921875,645.9974365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,596.4713134765625,111.58624267578125,622.933837890625,87.4451904296875,568.432861328125,86.34228515625,653.8550415039062,111.6541748046875,530.3400268554688,111.72430419921875,718.6339721679688,273.6820068359375,467.41143798828125,272.2513732910156,732.0374145507812,494.7320556640625,442.9796142578125,494.0101318359375,735.3614501953125,350.3912353515625,425.9822082519531,344.0401611328125,676.4993896484375,654.9312133789062,502.2047424316406,645.3518676757812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,596.4176025390625,110.71308898925781,622.8405151367188,86.90078735351562,568.5396728515625,85.66717529296875,653.5450439453125,111.5565185546875,530.4615478515625,111.25473022460938,717.810546875,273.04254150390625,467.8096008300781,271.05401611328125,731.9566650390625,495.1038818359375,443.16558837890625,493.3660888671875,736.906494140625,350.9623107910156,426.474365234375,344.75592041015625,676.9112548828125,654.2725830078125,502.8604736328125,644.7847900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,596.1961669921875,109.96464538574219,622.3553466796875,86.05807495117188,568.4124145507812,84.94851684570312,652.9904174804688,110.51817321777344,530.7442016601562,110.60905456542969,717.4544677734375,273.4266357421875,469.196044921875,270.8461608886719,731.9981079101562,496.73065185546875,444.8134460449219,492.896728515625,737.049560546875,353.8048095703125,426.6883544921875,347.3018798828125,675.9617919921875,654.6921997070312,502.92425537109375,644.7938232421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,596.5162353515625,110.3857421875,622.5548706054688,86.08847045898438,568.5772094726562,85.02346801757812,653.1019897460938,109.85322570800781,530.6018676757812,110.2275390625,717.766357421875,273.9658508300781,469.0548095703125,270.97894287109375,731.0100708007812,496.7320556640625,446.84130859375,492.134765625,735.3924560546875,353.365966796875,426.9286193847656,350.51324462890625,675.7517700195312,655.1836547851562,502.8685302734375,644.91259765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,596.952392578125,111.04058837890625,622.8513793945312,87.11492919921875,569.2841186523438,85.91574096679688,652.8206176757812,110.71034240722656,530.991455078125,110.56877136230469,715.9697265625,272.38140869140625,469.708740234375,269.0367126464844,731.3717041015625,497.49365234375,447.9568786621094,493.02398681640625,736.93994140625,354.2388000488281,428.9407043457031,354.2780456542969,674.7340698242188,655.029541015625,502.7559814453125,645.0953369140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
